"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","328","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 15 15:20:54 UTC 2025","broken","Mon Sep 15 15:20:55 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","210","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Sep 15 15:21:08 UTC 2025","broken","Mon Sep 15 15:21:09 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","229","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Sep 15 15:21:53 UTC 2025","broken","Mon Sep 15 15:21:53 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Negative login check","230","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 15 15:20:51 UTC 2025","broken","Mon Sep 15 15:20:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","487","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 15 15:20:47 UTC 2025","broken","Mon Sep 15 15:20:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","217","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Sep 15 15:21:28 UTC 2025","broken","Mon Sep 15 15:21:28 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","249","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Sep 15 15:21:12 UTC 2025","broken","Mon Sep 15 15:21:12 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","203","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Sep 15 15:22:19 UTC 2025","broken","Mon Sep 15 15:22:19 UTC 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","248","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Sep 15 15:22:35 UTC 2025","broken","Mon Sep 15 15:22:36 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","189","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Sep 15 15:21:20 UTC 2025","broken","Mon Sep 15 15:21:20 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
